timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
16:09:37,0.22,71.07,512,13.88
16:09:39,0.22,71.07,512,13.88
16:09:42,17.66,74.42,512,14.54
16:09:44,104.81,77.81,512,15.20
16:09:46,100.52,77.1,512,15.06
16:09:48,100.01,78.49,512,15.33
16:09:50,101.77,77.57,512,15.15
16:09:52,101.65,79.43,512,15.51
16:09:54,100.65,79.5,512,15.53
16:09:56,101.75,79.61,512,15.55
16:09:58,103.31,79.11,512,15.45
16:10:00,102.34,78.11,512,15.26
16:10:02,99.52,80.03,512,15.63
16:10:04,100.73,79.07,512,15.44
16:10:06,100.88,79.83,512,15.59
16:10:08,101.57,80.3,512,15.68
16:10:10,101.38,80.03,512,15.63
16:10:12,101.15,78.89,512,15.41
16:10:14,101.84,80.03,512,15.63
16:10:16,102.33,79.08,512,15.44
16:10:18,100.96,78.79,512,15.39
16:10:20,0.19,78.46,512,15.33
16:10:23,0.20,78.46,512,15.33
16:10:25,0.20,78.46,512,15.33
16:10:27,0.18,78.46,512,15.33
16:10:29,0.27,78.46,512,15.33
16:10:31,0.23,78.46,512,15.33
16:10:33,0.24,78.46,512,15.33
16:10:35,0.22,78.46,512,15.33
16:10:37,0.19,78.46,512,15.33
16:10:39,0.19,78.46,512,15.33
16:10:41,0.24,78.46,512,15.33
16:10:43,0.20,78.46,512,15.33
